,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15,0.0016798019409179688,0.00043229948940348814,0.000797271728515625,0.0003986372046470922,1000,rbf,auto,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,0.129769229888916,0.15622004181972146,0.0004078388214111328,0.000499697440584247,1,poly,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,0.1494915008544922,0.16677122871703698,0.001189851760864258,0.0007259417131296777,1,poly,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0.13125972747802733,0.15119023141601814,0.0007950782775878907,0.0005563868165366242,1,poly,auto,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0.12289752960205078,0.1396664178177248,0.0003993988037109375,0.000489161659726066,10,poly,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.12816390991210938,0.15822847130202558,0.003156566619873047,0.006313133239746093,10,poly,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0.12702417373657227,0.15066695288279358,0.00019960403442382814,0.00039920806884765627,10,poly,auto,"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0.1264059066772461,0.14722051571516837,0.0004329681396484375,0.0005329252909312478,100,poly,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.13671865463256835,0.1605122494584656,0.00019936561584472657,0.0003987312316894531,100,poly,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,0.1670834541320801,0.2276025305814093,0.0003993511199951172,0.0004891035208366263,100,poly,auto,"{'C': 100, 'gamma': 'auto', 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,0.12796373367309571,0.1483803504604736,0.0006062507629394532,0.0004951644152200687,1000,poly,0.001,"{'C': 1000, 'gamma': 0.001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,0.12541298866271972,0.15175335241702548,0.0033407688140869142,0.006194711947847026,1000,poly,0.0001,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,0.12518959045410155,0.14141825060382449,0.0,0.0,1000,poly,auto,"{'C': 1000, 'gamma': 'auto', 'kernel': 'poly'}",0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.2763853991962833,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,0.006319093704223633,0.007739278108842076,0.0002124309539794922,0.0004248619079589844,1,sigmoid,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
29,0.0014084815979003907,0.0004793793289763506,0.0006136894226074219,0.0004674784408812207,1,sigmoid,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
30,0.0031551837921142576,0.006310367584228515,0.0,0.0,1,sigmoid,auto,"{'C': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
31,0.0031565189361572265,0.006313037872314453,0.00021138191223144532,0.00042276382446289064,10,sigmoid,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
32,0.001397418975830078,0.0004877022154206349,0.000798177719116211,0.0003990970742961602,10,sigmoid,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
33,0.0015963077545166015,0.0004900613157544041,0.0003986835479736328,0.0004882857762067344,10,sigmoid,auto,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
34,0.0003983497619628906,0.0004878787154719998,0.0003989219665527344,0.0004885778420413264,100,sigmoid,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
35,0.0,0.0,0.0,0.0,100,sigmoid,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
36,0.0,0.0,0.003124237060546875,0.00624847412109375,100,sigmoid,auto,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
37,0.0,0.0,0.003126096725463867,0.006252193450927733,1000,sigmoid,0.001,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
38,0.0031224727630615235,0.006244945526123047,0.0,0.0,1000,sigmoid,0.0001,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
39,0.003124904632568359,0.0062498092651367175,0.0,0.0,1000,sigmoid,auto,"{'C': 1000, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6672727272727272,0.020137269970710477
